covariate_mode,meal_type,model,quantile_tau,treat_offset,minutes,n_obs,ACME,ACME_lower,ACME_upper,ACME_p,ADE,ADE_lower,ADE_upper,ADE_p,total_effect,total_lower,total_upper,total_p,prop_mediated,m_resid_skew,m_resid_kurt,m_shapiro_p,y_resid_skew,y_resid_kurt,y_shapiro_p
pca,ALL,lmer,,30.0,90.0,190.0,-8.104840954282535,-14.07879007097384,-2.0781214393171124,0.01,13.041459931698416,4.6665542590983575,21.662176510683384,0.0,4.93661897741588,-1.0575787877483205,10.899448369283004,0.11,-1.6417797264404417,1.5954216248810384,3.6735613150788495,5.7713447169374486e-12,-0.1506481370143536,-0.0002258153848027078,0.7809678344703121
pca,ALL,lmer,,30.0,95.0,190.0,-8.420236677339838,-14.31206829443522,-2.4099170076934513,0.006,13.585060076974148,5.433057265455729,21.830753722869805,0.002,5.164823399634308,-0.9662675569730116,11.308899714060846,0.098,-1.6303048576522534,1.5954216248810384,3.6735613150788495,5.7713447169374486e-12,-0.1267967905236516,0.0173176332997515,0.9178284203178704
pca,ALL,lmer,,30.0,100.0,190.0,-8.430303051680553,-15.033846361867504,-2.0069945425756823,0.006,13.3811645913309,5.022075525189303,21.877339348044927,0.004,4.950861539650347,-1.19631830652846,10.679416235376854,0.116,-1.7027951567952635,1.5954216248810384,3.6735613150788495,5.771344716937449e-12,-0.1302963826076934,0.0649348484194516,0.8290076029765889
pca,ALL,lmer,,30.0,105.0,190.0,-8.931021029141174,-15.367747816952107,-2.482735560352538,0.008,13.863475954841418,5.145025790730233,22.75979715384998,0.002,4.932454925700243,-1.739188098283189,11.103708540195338,0.12,-1.810664499457797,1.5954216248810384,3.6735613150788495,5.771344716937449e-12,-0.1006678647251727,0.0267083203561457,0.7926193474499268
pca,ALL,lmer,,30.0,110.0,190.0,-9.493229729097632,-16.136012579257187,-2.594200881391479,0.012,14.644483819878683,6.109356439585627,23.178009919248325,0.006,5.151254090781051,-0.8408807605218046,11.49157824670595,0.094,-1.842896809553076,1.5954216248810384,3.6735613150788495,5.7713447169374486e-12,-0.0399610955282784,-0.0075934215612747,0.7089264285493904
pca,ALL,lmer,,30.0,115.0,190.0,-9.717166289025084,-16.65012100403997,-2.695754397214704,0.006,14.998494519721632,5.695057312272758,23.796773663163957,0.004,5.281328230696547,-0.7067220850417485,12.064338591697195,0.1,-1.839909557702968,1.5954216248810384,3.6735613150788495,5.7713447169374486e-12,0.0061185435162012,0.0281449639734336,0.7157874916450551
pca,ALL,lmer,,30.0,120.0,190.0,-9.635749676228889,-17.172242025878212,-2.6674964226245117,0.01,14.806909000386996,5.5512532944703965,23.647762679337525,0.0,5.171159324158108,-1.40563417982689,11.689473689018028,0.126,-1.8633635268620616,1.5954216248810384,3.6735613150788495,5.771344716937449e-12,0.0202514037190353,0.0461378227383328,0.810723868745002
pca,ALL,lmer,,30.0,125.0,190.0,-9.605551794791362,-16.483987276228955,-2.6881462397886233,0.006,14.499989480671044,4.8667310991504165,23.9647559972438,0.002,4.894437685879683,-1.7163509301582336,11.554873118170969,0.138,-1.9625445069007852,1.5954216248810384,3.6735613150788495,5.771344716937449e-12,0.0777766320597692,-0.0089090216802101,0.6410800762947972
pca,ALL,lmer,,30.0,130.0,190.0,-9.398457612301677,-16.477201846961233,-2.2924886935001467,0.002,13.984078881615975,4.507205718175778,23.27524385489143,0.006,4.5856212693142995,-2.293315303043371,11.393136310572052,0.178,-2.049549463492229,1.5954216248810384,3.6735613150788495,5.771344716937449e-12,0.0955250735729322,0.0293433481344727,0.914386849447685
pca,ALL,lmer,,30.0,135.0,190.0,-8.880589790077533,-16.228405573354788,-1.4151017136564188,0.008,13.442702306068089,4.016020278640618,22.46806647136131,0.004,4.562112515990555,-2.0965127036400557,10.921200323221722,0.18,-1.946595959426775,1.5954216248810384,3.6735613150788495,5.771344716937449e-12,0.1068665722337864,0.0913160484283119,0.9572544027256809
